date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-29,15.1,15.42,15.39,15.1,6555.62,0.17,1.12,15.266,15.656,15.854,10683.49,9880.09,9847.63,0.21
2018-03-28,15.31,15.36,15.22,15.17,7188.61,-0.19,-1.23,15.37,15.714,15.888,11381.27,10076.28,9929.24,0.23
2018-03-27,15.26,15.45,15.41,15.2,10138.02,0.26,1.72,15.522,15.797,15.931,11609.35,9968.02,10436.84,0.33
2018-03-26,14.88,15.15,15.15,14.88,9256.02,-0.01,-0.07,15.648,15.871,15.949,11091.51,9788.72,10287.63,0.3
2018-03-23,15.7,15.7,15.16,14.93,20279.2,-0.75,-4.71,15.854,15.989,15.983,11462.51,10073.41,10404.94,0.66
2018-03-22,15.98,16.1,15.91,15.9,10044.52,-0.07,-0.44,16.046,16.109,16.009,9076.68,10334.6,9700.53,0.33
2018-03-21,15.96,16.17,15.98,15.96,8329.01,-0.06,-0.37,16.058,16.094,15.998,8771.29,10462.79,9670.3,0.27
2018-03-20,16.08,16.11,16.04,15.87,7548.78,-0.14,-0.86,16.072,16.084,15.979,8326.69,10405.69,9584.42,0.25
2018-03-19,16.18,16.35,16.18,16.0,11111.02,0.06,0.37,16.094,16.084,15.952,8485.93,10453.68,9561.36,0.36
2018-03-16,16.0,16.16,16.12,15.89,8350.06,0.15,0.94,16.124,16.057,15.913,8684.32,10079.17,9433.21,0.27
2018-03-15,16.06,16.07,15.97,15.85,8517.58,-0.08,-0.5,16.172,16.052,15.863,11592.52,9815.17,9611.46,0.28
2018-03-14,16.13,16.16,16.05,16.03,6106.0,-0.1,-0.62,16.13,16.062,15.842,12154.28,9782.2,9567.03,0.2
2018-03-13,16.39,16.4,16.15,16.12,8345.0,-0.18,-1.1,16.096,16.065,15.811,12484.68,10905.66,10055.52,0.27
2018-03-12,16.3,16.38,16.33,16.22,12102.94,-0.03,-0.18,16.074,16.027,15.769,12421.43,10786.54,10461.47,0.4
2018-03-09,15.76,16.4,16.36,15.76,22891.07,0.6,3.81,15.99,15.976,15.748,11474.03,10736.47,10444.01,0.75
2018-03-08,15.89,15.94,15.76,15.73,11326.4,-0.12,-0.76,15.932,15.909,15.731,8037.82,9066.47,10095.95,0.37
2018-03-07,16.01,16.09,15.88,15.83,7758.0,-0.16,-1.0,15.994,15.901,15.747,7410.12,8877.82,11573.46,0.25
2018-03-06,15.95,16.05,16.04,15.84,8028.76,0.13,0.82,16.034,15.874,15.835,9326.64,8763.17,11878.14,0.26
2018-03-05,16.08,16.08,15.91,15.8,7365.9,-0.16,-1.0,15.98,15.819,15.932,9151.64,8669.03,12040.21,0.24
2018-03-02,16.01,16.15,16.07,15.96,5710.02,0.0,0.0,15.962,15.768,16.043,9998.92,8787.24,12375.27,0.19
2018-03-01,16.04,16.09,16.07,15.93,8187.9,-0.01,-0.06,15.886,15.673,16.165,10095.12,9407.74,12784.38,0.27
