name,code,pe
读者传媒,"603999",27.448
方盛制药,"603998",69.375
继峰股份,"603997",18.966
中新科技,"603996",45.231
至正股份,"603991",40.761
麦迪科技,"603990",46.64
艾华集团,"603989",42.455
中电电机,"603988",126.367
康德莱,"603987",19.532
恒润股份,"603985",22.875
金诚信,"603979",25.476
国泰集团,"603977",22.169
醋化股份,"603968",26.278
法兰泰克,"603966",32.489
百利科技,"603959",59.151
益丰药房,"603939",64.721
兴业股份,"603928",22.088
金徽酒,"603919",21.529
金桥信息,"603918",108.125
合诚股份,"603909",47.088
牧高笛,"603908",36.095
龙蟠科技,"603906",27.123
永创智能,"603901",39.455
晨光文具,"603899",47.462
好莱客,"603898",34.674
天永智能,"603895",42.902
新澳股份,"603889",29.22
吉祥航空,"603885",15.51
老百姓,"603883",53.856
金域医学,"603882",66.023
北部湾旅,"603869",30.809
桃李面包,"603866",41.866
白云电器,"603861",41.376
步长制药,"603858",17.497
华荣股份,"603855",25.37
四通股份,"603838",53.955
神力股份,"603819",33.857
曲美家居,"603818",35.526
顾家家居,"603816",37.365
诚意药业,"603811",27.645
福斯特,"603806",15.858
康普顿,"603798",13.388
宁波高发,"603788",34.088
威龙股份,"603779",51.061
乾景园林,"603778",17.575
常青股份,"603768",18.474
隆鑫通用,"603766",6.962
泰晶科技,"603738",20.991
三棵树,"603737",46.336
岱美股份,"603730",27.65
龙韵股份,"603729",119.788
鸣志电器,"603728",32.599
海利生物,"603718",81.462
塞力斯,"603716",28.982
盛洋科技,"603703",134.5
德宏股份,"603701",19.383
纽威股份,"603699",73.966
航天工程,"603698",49.775
安记食品,"603696",112.471
石英股份,"603688",37.139
龙马环卫,"603686",30.696
华体科技,"603679",37.244
火炬电子,"603678",21.664
灵康药业,"603669",31.797
天马科技,"603668",21.56
苏州科达,"603660",39.755
安图生物,"603658",53.978
泰禾光电,"603656",19.85
艾迪精密,"603638",48.894
南威软件,"603636",20.255
徕木股份,"603633",33.679
拉芳家化,"603630",23.535
杭电股份,"603618",55.067
茶花股份,"603615",25.863
禾丰牧业,"603609",17.196
天创时尚,"603608",24.955
东方电缆,"603606",66.353
再升科技,"603601",58.969
永艺股份,"603600",10.942
口子窖,"603589",36.42
高能环境,"603588",24.07
金麒麟,"603586",17.932
苏利股份,"603585",13.0
荣泰健康,"603579",19.358
三星新材,"603578",41.806
长久物流,"603569",24.876
伟明环保,"603568",47.271
珍宝岛,"603567",23.596
普莱柯,"603566",36.441
海兴电力,"603556",20.033
贵人鸟,"603555",45.09
美诺华,"603538",30.216
立霸股份,"603519",44.812
绝味食品,"603517",35.764
欧普照明,"603515",47.723
九洲药业,"603456",72.8
吉比特,"603444",17.176
鼎信通讯,"603421",31.5
信捷电气,"603416",21.609
邦宝益智,"603398",40.526
东方时尚,"603377",65.383
今世缘,"603369",27.512
柳州医药,"603368",20.03
日出东方,"603366",19.16
百傲化学,"603360",22.459
东珠景观,"603359",30.679
华达科技,"603358",14.413
华菱精工,"603356",33.641
四方冷链,"603339",33.701
杰克股份,"603337",35.338
依顿电子,"603328",10.79
湘油泵,"603319",35.127
福鞍股份,"603315",78.118
梦百合,"603313",25.631
应流股份,"603308",109.692
华懋科技,"603306",23.192
得邦照明,"603303",8.059
杭叉集团,"603298",20.763
海天味业,"603288",51.124
松发股份,"603268",59.5
天龙股份,"603266",23.917
电魂网络,"603258",21.252
菲林格尔,"603226",27.546
恒通股份,"603223",45.271
日月股份,"603218",23.085
江山欧派,"603208",22.289
快克股份,"603203",26.171
九华旅游,"603199",40.075
迎驾贡酒,"603198",20.306
保隆科技,"603197",30.403
网达软件,"603189",39.024
亚邦股份,"603188",13.79
华正新材,"603186",27.701
莎普爱思,"603168",8.018
福达股份,"603166",47.353
汇顶科技,"603160",41.857
腾龙股份,"603158",32.909
康惠制药,"603139",28.46
华贸物流,"603128",33.64
中材节能,"603126",45.173
翠微股份,"603123",36.952
万林股份,"603117",46.158
康尼机电,"603111",36.436
川仪股份,"603100",30.212
长白山,"603099",45.926
森特股份,"603098",28.344
宏盛股份,"603090",40.021
正裕工业,"603089",21.191
天成自控,"603085",78.941
和邦生物,"603077",23.667
振华股份,"603067",28.444
音飞储存,"603066",15.367
国检集团,"603060",31.624
德邦股份,"603056",41.136
泛微网络,"603039",52.862
华立股份,"603038",20.586
凯众股份,"603037",17.514
常熟汽饰,"603035",13.611
天鹅股份,"603029",61.879
千禾味业,"603027",27.739
石大胜华,"603026",27.048
威帝股份,"603023",31.76
新通联,"603022",81.667
爱普股份,"603020",19.755
中设集团,"603018",27.376
中衡设计,"603017",31.875
弘讯科技,"603015",63.308
创力集团,"603012",49.067
万盛股份,"603010",41.983
喜临门,"603008",29.262
花王股份,"603007",18.908
联明股份,"603006",21.382
晶方科技,"603005",128.391
龙宇燃油,"603003",111.579
奥康国际,"603001",19.288
出版传媒,"601999",34.864
中信银行,"601998",8.412
丰林集团,"601996",27.263
金隅集团,"601992",23.04
中国银行,"601988",8.296
中国核电,"601985",26.285
玲珑轮胎,"601966",19.587
中国汽研,"601965",23.167
吉视传媒,"601929",25.828
凤凰传媒,"601928",18.121
新集能源,"601918",39.462
京运通,"601908",39.692
方正证券,"601901",23.29
南方传媒,"601900",21.83
中煤能源,"601898",41.8
亚星锚链,"601890",117.972
中国国旅,"601888",26.455
江河集团,"601886",30.367
大连港,"601880",66.667
正泰电器,"601877",19.427
招商轮船,"601872",13.455
中远海发,"601866",110.794
光大银行,"601818",7.302
新华文轩,"601811",24.164
皖新传媒,"601801",18.554
中国交建,"601800",14.629
星宇股份,"601799",33.444
宁波建工,"601789",22.278
光大证券,"601788",19.889
力帆股份,"601777",100.286
中国中车,"601766",28.293
上海电气,"601727",44.087
际华集团,"601718",20.094
风范股份,"601700",43.278
拓普集团,"601689",22.4
明泰铝业,"601677",21.525
中国电建,"601669",15.825
中国建筑,"601668",10.583
长城汽车,"601633",10.528
中国人寿,"601628",45.455
中国中冶,"601618",18.08
中国核建,"601611",32.364
上海医药,"601607",19.929
中国太保,"601601",28.752
鹿港文化,"601599",33.35
北辰实业,"601588",29.278
会稽山,"601579",38.03
三星医疗,"601567",15.833
东吴证券,"601555",20.08
吉林高速,"601518",22.813
东风股份,"601515",19.294
通用股份,"601500",31.828
工商银行,"601398",9.455
中国中铁,"601390",16.576
兴业证券,"601377",25.024
中原证券,"601375",32.682
绿城水务,"601368",22.38
百隆东方,"601339",13.6
新华保险,"601336",37.323
广深铁路,"601333",32.813
交通银行,"601328",7.573
中国平安,"601318",20.966
骆驼股份,"601311",21.246
农业银行,"601288",8.036
庞大集团,"601258",42.167
广汽集团,"601238",24.52
环旭电子,"601231",33.973
上海银行,"601229",6.119
陕西煤业,"601225",35.536
林洋能源,"601222",31.75
吉鑫科技,"601218",29.476
国泰君安,"601211",16.562
东材科技,"601208",86.857
上海环境,"601200",35.303
江南水务,"601199",16.0
东兴证券,"601198",29.165
龙江交通,"601188",19.026
中国铁建,"601186",11.437
中国西电,"601179",21.0
北京银行,"601169",6.44
兴业银行,"601166",6.682
三角轮胎,"601163",15.764
