name,code,pe
603997,继峰股份,19.322
603609,禾丰牧业,17.471
603515,欧普照明,49.713
603198,迎驾贡酒,21.753
603069,海汽集团,54.957
603030,全筑股份,14.503
601377,兴业证券,24.83
601211,国泰君安,16.479
601099,太平洋,37.7
601016,节能风电,37.692
600999,招商证券,20.538
600966,博汇纸业,41.301
600895,张江高科,31.702
600694,大商股份,15.285
600675,中华企业,18.063
600658,电子城,17.469
600649,城投控股,14.108
600604,市北高新,40.368
600598,北大荒,28.527
600597,光明乳业,34.152
600592,龙溪股份,66.149
600533,栖霞建设,27.512
600493,凤竹纺织,41.707
600487,亨通光电,38.274
600479,千金药业,32.089
600468,百利电气,68.637
600415,小商品城,31.0
600369,西南证券,30.625
600310,桂东电力,20.949
600266,北京城建,15.402
600240,华业资本,10.64
600210,紫江企业,33.716
600208,新湖中宝,8.015
600201,生物股份,27.144
600113,浙江东日,33.839
600085,同仁堂,50.176
600064,南京高科,12.377
300531,优博讯,15.901
300448,浩云科技,50.273
300420,五洋科技,23.433
300416,苏试试验,56.326
300389,艾比森,26.506
300282,汇冠股份,33.661
300219,鸿利智汇,53.857
300195,长荣股份,35.25
300004,南风股份,60.556
002745,木林森,51.24
002736,国信证券,23.161
002688,金河生物,25.808
002647,民盛金科,64.86
002646,青青稞酒,32.792
002620,瑞和股份,14.064
002597,金禾实业,28.144
002596,海南瑞泽,55.136
002588,史丹利,15.75
002543,万和电气,22.686
002532,新界泵业,17.639
002513,蓝丰生化,32.125
002455,百川股份,57.0
002452,长高集团,28.777
002400,省广股份,10.54
002375,亚厦股份,32.667
002320,海峡股份,64.811
002285,世联行,32.135
002124,天邦股份,14.915
002106,莱宝高科,34.033
002038,双鹭药业,48.205
002027,分众传媒,25.962
000999,华润三九,22.008
000927,一汽夏利,44.008
000906,浙商中拓,23.813
000860,顺鑫农业,28.004
000838,财信发展,60.435
000797,中国武夷,23.717
000581,威孚高科,15.367
000529,广弘控股,40.278
000501,鄂武商Ａ,9.888
000411,英特集团,49.167
000058,深 赛 格,55.288
