date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-31,5.12,5.24,5.19,5.07,286721.44,0.07,1.37,5.154,5.061,5.093,310238.16,264113.52,329502.44
2018-07-30,5.08,5.21,5.11,5.08,272017.81,0.03,0.59,5.132,5.043,5.075,313884.84,252085.48,322717.88
2018-07-27,5.07,5.11,5.08,5.05,199361.05,-0.06,-1.17,5.11,5.034,5.06,306198.04,240466.38,318068.34
2018-07-26,5.25,5.25,5.15,5.11,314031.56,-0.08,-1.53,5.08,5.03,5.05,294774.0,243680.08,317665.28
2018-07-25,5.05,5.27,5.24,5.03,479058.94,0.17,3.35,5.022,5.024,5.034,265613.42,252894.87,308507.52
2018-07-24,4.91,5.08,5.08,4.91,304954.84,0.08,1.6,4.968,5.012,5.018,217988.87,250386.96,292929.33
2018-07-23,4.99,5.05,5.0,4.97,233583.8,0.07,1.42,4.954,5.017,5.008,190286.13,247212.07,285176.09
2018-07-20,4.9,4.94,4.93,4.87,142240.84,0.06,1.23,4.958,5.034,5.003,174734.73,252437.3,280922.84
2018-07-19,4.92,4.95,4.86,4.86,168228.69,-0.1,-2.02,4.98,5.059,5.003,192586.16,287102.6,284060.98
2018-07-18,4.89,4.99,4.97,4.89,240936.2,-0.04,-0.8,5.026,5.091,5.001,240176.31,342275.87,289025.44
2018-07-17,4.96,5.02,5.01,4.93,166441.11,-0.01,-0.2,5.056,5.125,5.0,282785.05,394891.37,291161.06
2018-07-16,5.02,5.05,5.02,4.97,155826.8,-0.02,-0.4,5.08,5.107,5.002,304138.0,393350.28,308970.3
2018-07-13,5.07,5.09,5.04,5.01,231498.02,-0.06,-1.18,5.11,5.086,5.014,330139.86,395670.29,342082.4
2018-07-12,4.95,5.11,5.09,4.9,406179.41,-0.04,-0.78,5.138,5.07,5.049,381619.04,391650.49,351371.58
2018-07-11,5.06,5.3,5.12,5.06,453979.91,-0.01,-0.2,5.156,5.043,5.085,444375.43,364120.18,354402.47
2018-07-10,5.15,5.23,5.13,5.06,273205.88,-0.04,-0.77,5.194,5.023,5.121,506997.69,335471.69,348742.95
2018-07-09,5.08,5.2,5.17,5.05,285836.09,-0.01,-0.19,5.134,4.998,5.158,482562.55,323140.12,357445.39
2018-07-06,5.1,5.24,5.18,4.97,488893.91,0.0,0.0,5.062,4.971,5.185,461200.72,309408.38,365801.38
2018-07-05,5.2,5.4,5.18,5.15,719961.38,-0.13,-2.45,5.002,4.947,5.221,401681.94,281019.37,360269.19
2018-07-04,4.93,5.31,5.31,4.93,767091.19,0.48,9.94,4.93,4.91,5.256,283864.93,235775.0,343230.05
2018-07-03,4.73,4.84,4.83,4.71,151030.16,0.03,0.62,4.852,4.875,5.28,163945.69,187430.74,322567.82
2018-07-02,4.84,4.93,4.81,4.77,179026.98,-0.06,-1.23,4.862,4.897,5.328,163717.68,224590.33,338970.63
2018-06-29,4.81,4.88,4.88,4.71,191299.98,0.06,1.25,4.88,4.942,5.388,157616.04,288494.5,372026.88
2018-06-28,4.85,4.9,4.82,4.81,130876.34,-0.09,-1.83,4.892,5.028,5.447,160356.79,311092.68,415493.31
2018-06-27,4.85,4.97,4.92,4.82,167495.0,0.02,0.41,4.89,5.127,5.505,187685.07,344684.76,454446.85
2018-06-26,4.88,4.9,4.88,4.81,149890.12,-0.03,-0.61,4.898,5.218,5.531,210915.79,362014.22,452837.9
2018-06-25,4.94,4.98,4.9,4.9,148518.75,-0.04,-0.81,4.932,5.318,5.56,285462.98,391750.67,462272.77
2018-06-22,4.9,4.95,4.94,4.83,205003.75,0.12,2.49,5.004,5.399,5.601,419372.97,422194.37,471968.51
2018-06-21,4.9,4.97,4.81,4.8,267517.72,-0.16,-3.22,5.164,5.495,5.636,461828.56,439519.01,469905.97
2018-06-20,4.95,5.02,4.96,4.82,283648.62,-0.1,-1.98,5.364,5.601,5.68,501684.46,450685.11,465331.36
2018-06-19,5.15,5.41,5.05,4.8,522626.06,-0.21,-3.99,5.538,5.685,5.718,513112.64,457704.89,460456.22
2018-06-15,5.58,5.63,5.26,5.17,818068.69,-0.48,-8.36,5.704,5.758,5.752,498038.36,453350.93,446596.94
2018-06-14,5.77,5.82,5.74,5.65,417281.72,-0.07,-1.21,5.794,5.833,5.777,425015.77,455559.25,417839.65
2018-06-13,5.75,5.87,5.81,5.71,466797.19,-0.02,-0.34,5.826,5.866,5.776,417209.45,519893.94,406408.45
2018-06-12,5.82,5.88,5.83,5.74,340789.56,-0.05,-0.85,5.838,5.882,5.773,399685.75,564208.94,399180.13
2018-06-11,5.71,5.93,5.88,5.69,447254.62,0.17,2.98,5.832,5.843,5.776,402297.14,543661.58,397882.57
2018-06-08,5.86,6.0,5.71,5.63,452955.78,-0.19,-3.22,5.812,5.801,5.782,408663.5,532794.87,388110.91
2018-06-07,5.8,5.95,5.9,5.76,378250.09,0.03,0.51,5.872,5.802,5.801,486102.73,521742.65,384019.62
2018-06-06,5.79,5.9,5.87,5.76,379178.72,0.08,1.38,5.906,5.777,5.806,622578.44,500292.94,377412.91
2018-06-05,5.66,5.82,5.8,5.61,353846.47,0.02,0.35,5.926,5.759,5.814,728732.12,479977.62,374975.0
2018-06-04,5.81,5.93,5.78,5.73,479086.44,-0.23,-3.83,5.854,5.751,5.83,685026.02,463207.54,376469.21
2018-06-01,6.0,6.25,6.01,5.9,840151.94,-0.06,-0.99,5.79,5.745,5.843,656926.25,439842.95,367446.99
2018-05-31,5.81,6.26,6.07,5.71,1060628.62,0.1,1.68,5.732,5.721,5.845,557382.57,380120.05,345591.13
2018-05-30,5.54,5.97,5.97,5.54,909947.12,0.54,9.95,5.648,5.686,5.837,378007.45,292922.95,310577.15
2018-05-29,5.44,5.49,5.44,5.39,135316.0,-0.02,-0.37,5.592,5.664,5.833,231223.11,234151.33,284163.6
2018-05-28,5.62,5.63,5.46,5.42,338587.56,-0.27,-4.71,5.648,5.709,5.866,241389.06,252103.56,291824.0
2018-05-25,5.74,5.79,5.72,5.71,342433.56,0.07,1.24,5.7,5.762,5.903,222759.65,243426.95,292723.1
2018-05-24,5.69,5.71,5.65,5.61,163753.0,-0.04,-0.7,5.71,5.799,5.926,202857.54,246296.59,292641.04
2018-05-23,5.73,5.75,5.69,5.67,176025.44,-0.03,-0.52,5.724,5.835,5.953,207838.45,254532.87,305982.06
2018-05-22,5.73,5.73,5.72,5.68,186145.72,0.0,0.0,5.736,5.869,5.977,237079.55,269972.39,327902.41
2018-05-21,5.7,5.74,5.72,5.68,245440.52,-0.05,-0.87,5.77,5.909,6.025,262818.07,289730.87,342766.25
2018-05-18,5.69,5.86,5.77,5.68,242923.0,0.05,0.87,5.824,5.941,6.085,264094.26,295051.04,355424.37
2018-05-17,5.71,5.77,5.72,5.68,188657.56,-0.03,-0.52,5.888,5.968,6.141,289735.64,311062.2,370562.79
2018-05-16,5.69,5.77,5.75,5.64,322230.97,-0.13,-2.21,5.946,5.988,6.212,301227.3,328231.35,405113.93
2018-05-15,5.91,5.91,5.89,5.81,314838.31,-0.1,-1.67,6.002,6.001,6.28,302865.22,334175.87,431037.45
2018-05-14,6.09,6.09,5.99,5.97,251821.45,-0.11,-1.8,6.048,6.022,6.339,316643.68,331544.43,456278.73
2018-05-11,6.06,6.12,6.09,6.03,371129.91,0.08,1.33,6.058,6.044,6.408,326007.82,342019.25,516376.29
2018-05-10,6.03,6.05,6.01,5.98,246115.84,-0.02,-0.33,6.048,6.053,6.473,332388.77,338985.5,556193.65
2018-05-09,6.07,6.1,6.03,6.0,330420.59,-0.1,-1.63,6.03,6.071,6.519,355235.41,357431.26,579966.05
2018-05-08,5.99,6.14,6.12,5.98,383730.59,0.09,1.49,6.0,6.085,6.574,365486.51,385832.43,624070.92
2018-05-07,6.05,6.06,6.04,5.93,298642.19,0.0,0.0,5.996,6.14,6.63,346445.19,395801.63,676907.62
2018-05-04,5.92,6.09,6.04,5.89,403034.62,0.12,2.03,6.03,6.228,6.671,358030.67,415797.69,727935.74
2018-05-03,5.92,5.99,5.92,5.86,360349.06,0.04,0.68,6.058,6.314,6.711,345582.22,430063.38,754723.69
2018-05-02,5.98,5.99,5.88,5.8,381676.09,-0.21,-3.45,6.112,6.436,6.731,359627.1,481996.5,757722.85
2018-04-27,6.08,6.17,6.1,6.0,288524.0,-0.1,-1.61,6.17,6.559,6.754,406178.36,527899.03,775707.74
2018-04-26,6.1,6.34,6.21,6.06,356569.59,0.02,0.32,6.284,6.656,6.78,445158.06,581013.03,819627.54
