name,code,pe,industry
中新科技,603996,19.918,NULL
中电电机,603988,61.393,NULL
兆易创新,603986,60.553,NULL
吉华集团,603980,16.161,NULL
金诚信,603979,24.457,NULL
深圳新星,603978,18.567,NULL
正川股份,603976,16.549,NULL
中农立华,603970,20.23,NULL
法兰泰克,603966,22.39,NULL
大理药业,603963,38.564,NULL
克来机电,603960,63.608,NULL
三孚股份,603938,26.706,NULL
丽岛新材,603937,27.655,NULL
博敏电子,603936,45.897,NULL
睿能科技,603933,12.637,NULL
亚翔集成,603929,32.183,NULL
兴业股份,603928,21.388,NULL
金鸿顺,603922,21.195,NULL
世运电路,603920,24.041,NULL
金徽酒,603919,23.725,NULL
合力科技,603917,14.233,NULL
苏博特,603916,23.298,NULL
佳力图,603912,20.029,NULL
合诚股份,603909,50.265,NULL
牧高笛,603908,30.313,NULL
龙蟠科技,603906,22.727,NULL
永创智能,603901,52.938,NULL
莱绅通灵,603900,18.527,NULL
长城科技,603897,23.895,NULL
寿仙谷,603896,55.155,NULL
天永智能,603895,29.655,NULL
春秋电子,603890,10.167,NULL
城地股份,603887,22.851,NULL
元祖股份,603886,23.871,NULL
金域医学,603882,49.087,NULL
永悦科技,603879,31.611,NULL
武进不锈,603878,21.111,NULL
鼎胜新材,603876,34.453,NULL
嘉友国际,603871,11.772,NULL
飞科电器,603868,29.385,NULL
中公高科,603860,34.012,NULL
能科股份,603859,49.717,NULL
东宏股份,603856,22.205,NULL
好太太,603848,34.018,NULL
安正时尚,603839,15.33,NULL
洛凯股份,603829,30.214,NULL
坤彩科技,603826,34.116,NULL
百合花,603823,25.763,NULL
嘉澳环保,603822,36.872,NULL
神力股份,603819,61.923,NULL
原尚股份,603813,36.333,NULL
诚意药业,603811,34.621,NULL
豪能股份,603809,10.083,NULL
瑞斯康达,603803,20.92,NULL
华友钴业,603799,20.447,NULL
康普顿,603798,20.8,NULL
联泰环保,603797,42.273,NULL
新日股份,603787,24.718,NULL
来伊份,603777,35.857,NULL
沃格光电,603773,21.283,NULL
中马传动,603767,18.5,NULL
大元泵业,603757,9.653,NULL
泰晶科技,603738,28.053,NULL
仙鹤股份,603733,33.699,NULL
岱美股份,603730,16.105,NULL
博迈科,603727,30.574,NULL
朗迪集团,603726,17.458,NULL
天安新材,603725,35.111,NULL
阿科力,603722,48.63,NULL
中广天择,603721,25.289,NULL
海利生物,603718,57.278,NULL
天域生态,603717,13.066,NULL
塞力斯,603716,13.303,NULL
香飘飘,603711,27.284,NULL
中源家居,603709,18.413,NULL
家家悦,603708,33.242,NULL
东方环宇,603706,60.288,NULL
安记食品,603696,43.029,NULL
江苏新能,603693,39.097,NULL
皖天然气,603689,28.105,NULL
晨丰科技,603685,11.862,NULL
晶华新材,603683,54.049,NULL
今创集团,603680,12.786,NULL
卫信康,603676,58.192,NULL
五洲新春,603667,19.531,NULL
亿嘉和,603666,35.999,NULL
恒林股份,603661,17.2,NULL
璞泰来,603659,43.58,NULL
安图生物,603658,68.151,NULL
朗博科技,603655,43.068,NULL
彤程新材,603650,67.75,NULL
畅联股份,603648,36.705,NULL
海利尔,603639,11.815,NULL
镇海股份,603637,36.588,NULL
拉芳家化,603630,21.631,NULL
清源股份,603628,49.722,NULL
科森科技,603626,17.269,NULL
中曼石油,603619,27.915,NULL
君禾股份,603617,27.697,NULL
茶花股份,603615,27.829,NULL
索通发展,603612,6.143,NULL
京华激光,603607,21.017,NULL
珀莱雅,603605,35.408,NULL
纵横通信,603602,30.656,NULL
引力传媒,603598,41.16,NULL
伯特利,603596,42.973,NULL
东尼电子,603595,30.606,NULL
地素时尚,603587,23.255,NULL
苏利股份,603585,14.9,NULL
艾艾精工,603580,33.576,NULL
荣泰健康,603579,38.892,NULL
三星新材,603578,40.803,NULL
汇金通,603577,38.275,NULL
长久物流,603569,14.122,NULL
起步股份,603557,26.76,NULL
美诺华,603538,38.65,NULL
惠发股份,603536,15.845,NULL
嘉诚国际,603535,21.821,NULL
多伦科技,603528,44.039,NULL
众源新材,603527,18.024,NULL
司太立,603520,32.594,NULL
淳中科技,603516,23.277,NULL
欧普照明,603515,37.17,NULL
思维列控,603508,43.415,NULL
振江股份,603507,17.738,NULL
南都物业,603506,21.079,NULL
金石资源,603505,41.6,NULL
祥和实业,603500,18.711,NULL
翔港科技,603499,43.565,NULL
恒为科技,603496,24.878,NULL
展鹏科技,603488,22.737,NULL
科沃斯,603486,56.635,NULL
振静股份,603477,33.714,NULL
风语筑,603466,17.548000000000002,NULL
勘设股份,603458,13.189,NULL
吉比特,603444,13.305,NULL
鼎信通讯,603421,25.783,NULL
信捷电气,603416,26.25,NULL
邦宝益智,603398,50.448,NULL
